name,description,email,admin,logins_per_week,users,posts,connections,dmarc_policy
mastodon.social,General-purpose server run by the lead developer of Mastodon,staff@mastodon.social,Gargron,99716,921068,47570302,47881,Enforced (p=quarantine)
mstdn.social,,hello@mstdn.social,stux,34513,176030,7965462,42892,Monitoring only (p=none)
mastodon.world,A general Mastodon instance,info@mastodon.world,mwadmin,32205,146772,1471533,37275,Enforced (p=quarantine)
mas.to,"This is a generalist, predominantly English-speaking instance.",trumpet@mas.to,trumpet,28209,149010,2902622,27636,Monitoring only (p=none)
pawoo.net,,,pawoo_russel,25957,805040,68133212,27269,Missing
mastodon.online,,staff@mastodon.online,Gargron,21792,166639,3571763,26902,Enforced (p=quarantine)
infosec.exchange,,jerry@infosec.exchange,jerry,18328,45559,791635,25160,Enforced (p=reject)
mstdn.jp,汎用日本鯖,info@sujitech.com,mstdn_jp,16268,305297,63408938,49052,Missing
mastodonapp.uk,This is a site for those in the UK or who want to talk to folks over here in the UK. ,support@mastodonapp.uk,wild1145,15395,68217,887216,16405,Monitoring only (p=none)
hachyderm.io,,admin@hachyderm.io,nova,14651,41428,570904,18070,Missing
fosstodon.org,A Mastodon instance for people who love FOSS/Linux.,mail@fosstodon.org,fosstodon,14340,53010,1617800,32114,Missing
techhub.social,A hub for pationate technologists,hello@techhub.social,nicdex,14228,68732,274081,39173,Enforced (p=quarantine)
universeodon.com,Be one with the Universe,novae@universeodon.com,supernovae,13529,69122,835330,16685,Missing
mastodon.lol,"A Mastodon server friendly towards anti-fascists, members of the LGBTQ+ community, hackers, and the like.",support@mastodon.lol,nathan,12995,76444,1453777,51662,Missing
troet.cafe,troet.cafe - Das Cafe für jeden zum unbeschwerten tröten :),helpdesk@troet.cafe,martinmuc,12605,36178,1496592,21956,Missing
mastodon.nl,Dutch Mastodon community,mdbraber@mastodon.nl,mdbraber,12025,36205,489381,21977,Missing
mastodon.sdf.org,,mastodon@mastodon.sdf.org,SDF,11940,71269,811456,23332,Missing
mastodon.uno,"L'istanza generalista italiana, Mastodon.uno è il primo social italiano indipendente generalista, etico, libero, senza fini commerciali e politici.",info@mastodon.uno,amministratore,11316,64115,809787,23572,Missing
mstdn.party,"Mstdn.Party is a general-purpose Mastodon instance, all are welcome!",jonah@fediverse.us,jonah,8728,48208,709991,16033,Enforced (p=reject)
masto.ai,"Sharing your thoughts has never been more convenient. Publish anything you want: links, pictures, text, video. ",stux@masto.ai,stux,8654,64811,602309,45605,Monitoring only (p=none)
mstdn.ca,A Mastodon instance run by Canadians for Canadians.,hello@mstdn.ca,chad,8289,32430,497006,17968,Missing
m.cmx.im,长毛象中文站,public@cmx.im,strawberry,8261,35358,3403451,46023,Missing
home.social,home.social provides a fediverse home to all people who are committed to being excellent to each other. Hosted fully redundant in Germany.,ralf@home.social,ralf,8046,36193,382883,15151,Missing
c.im,"C.IM is a general-topic, mainly English-speaking instance. ",admin@c.im,admin,7895,61857,929630,20839,Enforced (p=reject)
kolektiva.social,A collective effort to offer federated social media to anarchist collectives and individuals in the fediverse. ,admin@kolektiva.social,admin,7806,32808,839673,35276,Monitoring only (p=none)
sfba.social,A Mastodon instance for the San Francisco Bay Area. Come on in and join us!,support@sfba.social,seb,7705,36978,537056,26652,Missing
piaille.fr,Piaille.fr est un serveur mastodon public francophone accessible à toutes et à tous.,admin@piaille.fr,admin,7371,20471,425793,14049,Missing
mastodon.gamedev.place,Game development!,aras@nesnausk.org,aras,6982,22773,378580,25673,Missing
fedibird.com,様々な目的に使える、日本の汎用マストドンサーバーです。安定した利用環境と、多数の独自機能を提供しています。,support@fedibird.com,noellabo,6957,24185,7099481,20606,Missing
mastodon.scot,This is a Mastodon instance primarily intended for users in Scotland or who identify as Scottish.,trumpet@mastodon.scot,trumpet,6866,27918,732375,22683,Monitoring only (p=none)
mindly.social,"A friendly, non-topic specific community for people who want to use their brains and their hearts. 🧠💖",contact@mindly.social,KuJoe,6480,33863,435298,15983,Missing
ohai.social,ohai.social is a fast and up-to-date general-purpose Mastodon server. Anyone is welcome so long as they follow our rules.,support@ohai.social,ohai,6252,36665,372771,32928,Missing
toot.community,,jorijn@jorijn.com,jorijn,6136,28229,510012,17821,Missing
mastodon.art,"🐘Mastodon.ART🎨; Artists of all backgrounds art welcome & also your fun daily banter, commentary & cited fair-use art reviews too.
Art‽ 🎨📸✏️🎥🖥️🕹️🖼️🎶💡💬",admin@mastodon.art,Curator,5918,29039,1730247,30562,Missing
det.social,,det@ufe.de,stefan,5911,15617,273306,14330,Missing
aus.social,Australian focused Instance,aussocialadmin@shl.ee,aussocialadmin,5875,23242,937786,22760,Missing
nrw.social,"Wir sind eine freundliche Mastodon Instanz aus Nordrhein-Westfalen. Ob NRW'ler oder NRW-Sympathifanten, jeder ist hier willkommen.",webmaster@nrw.social,dbeaver,5670,17117,349656,15703,Enforced (p=quarantine)
chaos.social,chaos.social - because anarchy is much more fun with friends. For and by the chaos community.,contact@chaos.social,ordnung,5569,10665,3487510,48158,Missing
mastodon.cloud,,info@sujitech.com,TheAdmin,5363,236291,4739718,31184,Missing
mastodon.ie,Irish Mastodon,info@mastodon.ie,mastodonie,5278,19894,496030,21554,Monitoring only (p=none)
social.vivaldi.net,,vivaldisocial@vivaldi.net,Vivaldi,5258,21716,273114,40858,Enforced (p=reject)
norden.social,"Moin! Dies ist eine Mastodon Instanz für Nordlichter, Schnacker und alle anderen.",moin@norden.social,leuchtturm,5103,12136,822379,23270,Missing
sueden.social,We are an instance dedicated to the south of germany. Please note that we are primarily in german.,info@sueden.social,hausmeister,4813,13795,195935,16448,Enforced (p=quarantine)
mastodon.top,Mastodon.top is an mastodon instance hosted in France by VirtuBox. Our instance is updated with each new release of mastodon. ,contact@virtubox.net,thomas_virtubox,4704,47586,364156,20459,Enforced (p=quarantine)
mastodon.au,Australia's premiere and completely independent Mastodon community.,help@mastodon.au,mb,4690,24587,202101,13003,Enforced (p=reject)
mastodontech.de,mastodontech.de is a Mastodon instance open to all people (over 16) and is managed by Markus'Blog. There are rules that you should read before signing,markus@markus-blog.de,markusblogde,4391,15998,178131,21143,Enforced (p=quarantine)
alive.bar,"你好，欢迎使用 alive.bar 社交媒体实例。
alive.bar 仅仅是一个服务器位于新加坡的网站，它使用了「长毛象（Mastodon）」服务。",alive@alive.bar,admin,4127,28400,3287185,15526,Missing
social.tchncs.de,"Big instance from germany, hosted with much love.",milan@tchncs.de,milan,4072,20001,1825396,30989,Monitoring only (p=none)
loforo.com,Loforo.com is a free Microblogging platform that supports Mastodon and ActivityPub.,admin@loforo.com,admin,4048,25882,2795747,23169,Enforced (p=quarantine)
ioc.exchange,InfoSec Community within the Fediverse. Instance is supposed to be fast and secure.,seb@eml.cc,seb,3859,23900,206699,20136,Missing
mastodon.nu,,admin@mastodon.nu,admin,3791,15523,175793,15304,Monitoring only (p=none)
o3o.ca,O3O 去中心化的中文社交网络：你可以通过发布“嘟嘟”来吐槽一切、摸鱼扯皮。无论你的兴趣点是什么，我们欢迎任何热情、友好、乐于分享的朋友们加入。,admin[at]o3o.ca,o3o_bulletin,3773,16006,4886937,15688,Monitoring only (p=none)
noagendasocial.com,,adam@curry.com,adam,3726,9548,3814289,59390,Enforced (p=quarantine)
mathstodon.xyz,A Mastodon instance for maths people. We have LaTeX rendering in our toots!,christianperfect@gmail.com,christianp,3558,12059,327552,26639,Missing
newsie.social,,newsie@fourthestate.org,jeff,3505,17168,241084,16273,Missing
mastouille.fr,Instance durable & sécurisée : en bref une porte ouverte sur le fediverse !,admin@mastouille.fr,admin,3485,19768,88499,15284,Enforced (p=quarantine)
social.cologne,"social.cologne is eine Mastodon Instanz für jede:n Kölner:in und alle, die sich mit Köln verbunden fühlen.",contact@social.cologne,main,3293,11382,165530,18874,Enforced (p=reject)
wxw.moe,"一个萌萌哒 泛ACGN 实例 ~ / A lovely sweet animation, comics, games, novels instance ~",support@wxw.moe,wxw_moe_status,3236,20632,5683111,17274,Monitoring only (p=none)
muenchen.social,"muenchen.social für alle Münchnerinnen und Münchner. Natürlich dürfen auch ""Zuagroaste"" sich anmelden :)",helpdesk@muenchen.social,martinmuc,3209,10443,201886,18223,Missing
hessen.social,hessen.social ist die Mastodongemeinschaft für alle Hessen:innen und denen die sich Hessen verbunden fühlen,moomendemol@hessen.social,moomendemol,3204,9401,145152,13252,Monitoring only (p=none)
mastodon.com.tr,Genel amaçlı Türkçe Mastodon sunucusu.,iletisim@mastodon.com.tr,berkay,3172,17852,297923,9605,Enforced (p=quarantine)
meow.social,"This instance is focused around the furry community, and is open to anyone interested in it.",dontusethisemail@meow.social,TransparencyReports,3165,11089,843434,22545,Missing
sigmoid.social,,editor@thegradient.pub,thegradient,3146,8924,62774,15429,Missing
masto.nu,General purpose Mastodon server. All languages are welcome,support@masto.nu,mkevenaar,3135,17539,30746,11770,Monitoring only (p=none)
mstdn.plus,"MSTDN+ is a new English-language, general-purpose instance open to everyone!",jonah@fediverse.us,jonah,3116,9984,26434,9091,Missing
mastodon.green,,post@albinsocial.com,JohanEmpa,3103,11414,357095,19299,Missing
ruhr.social,And instance for tech-lovers and small-business founders of the Ruhr area in Germany,contact@ruhr.social,orga,3084,10095,240105,23123,Missing
masto.es,"Bienvenidos a masto.es, servidor de Mastodon para hispanohablantes de temática general. ",roberto@michan.es,rober,2998,14558,72159,9597,Missing
mamot.fr,"Mamot.fr is the mastodon social network instance maintained by La Quadrature du Net, digital freedom organization based in Paris",sysadmin@laquadrature.net,LaQuadrature,2986,38515,6208641,28958,Missing
dice.camp,,sage@hey.com,sage,2907,6988,255732,19034,Missing
social.anoxinon.de,"Freie unabhängige Fediverse Instanz für jedermann. Kernthemen: Gaming, Streaming, Technik und Föderation",postfach@anoxinon.de,Anoxinon,2761,9193,174723,20501,Monitoring only (p=none)
mastodon.nz,A Mastodon instance hosted in New Zealand. Made for kiwis and honorary kiwis home and abroad!,info@mastodon.nz,theadmin,2755,8730,333499,18502,Monitoring only (p=none)
twit.social,,twitsocial@laporte.email,leo,2732,7018,104668,20607,Missing
tkz.one,"Instancia de Mastodon en español. Contenido de anime, manga, videojuegos y tecnologia es bienvenido. 

No hay censura para otro tipo de contenidos.",tkz@tkz.one,tkz,2708,23271,205578,10638,Missing
qoto.org,"A Mastodon instance for scholars in Science, Technology, Engineering, and Mathematics (STEM) and all who yearn to learn.",Jeffrey.Freeman@qoto.org,QOTO,2632,25645,1029669,29466,Missing
ravenation.club,,contact@ravenation.club,main,2516,21667,283144,16166,Enforced (p=reject)
mstdn.science,,nabil@happykhan.com,happykhan,2469,6232,79160,13474,Missing
med-mastodon.com,,nickmmark@gmail.com,nick,2420,9857,178297,15686,Missing
planet.moe,한국어 마스토돈 인스턴스인 플래닛이에요.,robin_maki@planet.moe,planet,2411,9409,477668,11531,Missing
mastodonners.nl,Dutch Mastodonserver,info@mstdon.nl,Egbert,2379,5400,19029,8804,Missing
fediscience.org,,support@fediscience.org,FrankSonntag,2270,5052,170165,19715,Missing
econtwitter.net,,paulgp@gmail.com,paulgp,2260,7393,100802,15347,Missing
stranger.social,Stranger.social is a US based general use server. Open to everyone. All topics welcome. Technology. Crypto. News. Politics. Gaming. ,azcoigreach@gmail.com,azcoigreach,2219,4318,9462,7539,Missing
toot.io,,request@toot.io,jan,2073,8539,27126,16578,Missing
cyberplace.social,,cyber@cyberplace.social,GossiTheDog,2072,6340,8526,11796,Missing
masthead.social,"Journalists, muckrakers, scribes, hacks, editors, producers, writers, bloggers, vloggers, podcasters and other media makers.",editor@masthead.social,mdent123a,2049,29130,512870,23070,Monitoring only (p=none)
toot.wales,Explore the Fediverse from the comfort of beautiful Wales!,hello@toot.wales,jaz,2006,13584,273976,24153,Missing
social.dev-wiki.de,"Willkommen auf der Instanz, in der das freie Internet herrscht! Keine Zensur!",office@ggc-project.de,ggc_project,1991,8685,44654,17658,Enforced (p=quarantine)
ecoevo.social,Biological Ecology and Evolution community,alexis.simon@ecoevo.social,alxsim,1987,4533,81311,14939,Missing
ro-mastodon.puyo.jp,,norikosama at gmail.com,noriko,1974,8681,2150904,2036,Missing
zirk.us,"Join the circus of the arts and humanities! Discussion of literature, philosophy, film, music, culture, politics, history, architecture, etc.",admin@zirkus.anonaddy.com,lexipenia,1972,4770,231394,16821,Missing
